sample,R1(HA),R2(IA),R3(NVP),R4(AA),R5(HEAA),R6(IBOA),Printability,Tensile_Strength,Toughness,Youngs_Modulus,sum_softmon,sum_hardmon,sum
1,0.15,0.2,0.02,0.21,0.18,0.24,Y,45.51,2.33,1300.199,0.35,0.65,1
2,0.25,0.31,0.11,0.02,0.16,0.15,Y,17.95,12.47,503.15,0.56,0.44,1
3,0.06,0.17,0.27,0.11,0.27,0.12,Y,32.74,0.69,924.7,0.23,0.77,1
4,0,0.1,0.3,0.2,0.2,0.2,Y,27.81,0.7,1404.64,0.1,0.9,1
5,0.35,0.35,0,0,0.1,0.2,Y,1.2,2.15,0.608,0.7,0.3,1
6,0.15,0.34,0.07,0.15,0.1,0.19,Y,29.43,21.64,724.74,0.49,0.51,1
7,0.13,0.08,0.16,0.36,0.02,0.25,Y,20.54,0.32,1305.44,0.21,0.79,1
8,0.14,0.08,0.03,0.26,0.25,0.24,Y,27.03,1.05,1509.91,0.22,0.78,1
9,0,0,0.5,0,0.3,0.2,Y,35.42,0.64,1069.52,0,1,1
10,0,0.05,0,0.25,0.2,0.5,Y,21.52,0.4,1001.36,0.05,0.95,1
11,0.1,0,0.25,0.25,0.25,0.15,Y,20.23,0.23,980.39,0.1,0.9,1
12,0.12,0.25,0.23,0.22,0.15,0.03,Y,29.07,0.45,1550.75,0.37,0.63,1
13,0.03,0.14,0.26,0.3,0.22,0.05,Y,20.54,0.41,1153.4,0.17,0.83,1
14,0.4,0,0.2,0.2,0.2,0,Y,17.16,0.17,1146.19,0.4,0.6,1
15,0,0.25,0,0.35,0.25,0.15,Y,19.83,0.99,648.79,0.25,0.75,1
16,0.5,0.1,0.1,0.1,0.1,0.1,Y,29.19,2.06,597.07,0.6,0.4,1
17,0.7,0.1,0.2,0,0,0,Y,5.35,6.68,196.33,0.8,0.2,1
18,0.29,0.11,0.19,0.27,0.07,0.07,Y,32.72,0.93,794.77,0.4,0.6,1
19,0.28,0.21,0.02,0.15,0.25,0.09,Y,20.8,10.57,599.92,0.49,0.51,1
20,0.3,0,0,0.1,0.1,0.5,Y,25.27,0.38,962.37,0.3,0.7,1
21,0.13,0.05,0.18,0.05,0.21,0.38,Y,20.76,0.62,1036.06,0.18,0.82,1
22,0.44,0.21,0.1,0.15,0.1,0,Y,14.97,15.49,267.92,0.65,0.35,1
23,0.26,0.04,0.22,0.28,0.07,0.13,Y,20.74,0.37,796.01,0.3,0.7,1
24,0.06,0.28,0,0.25,0.33,0.08,Y,5.83,3.27,142.32,0.34,0.66,1
25,0.1,0.16,0.18,0.04,0.24,0.28,Y,20.33,0.41,905.73,0.26,0.74,1
26,0.05,0.11,0.17,0.18,0.35,0.14,Y,28.13,0.59,1219.18,0.16,0.84,1
27,0,0.3,0.7,0,0,0,N,0,0,0,0.3,0.7,1
28,0.2,0,0.8,0,0,0,Y,21.79,0.6,537.05,0.2,0.8,1
29,0.1,0,0.9,0,0,0,N,0,0,0,0.1,0.9,1
30,0,0.5,0.5,0,0,0,N,0,0,0,0.5,0.5,1
31,0,0.65,0.15,0.2,0,0,N,0,0,0,0.65,0.35,1
32,0,0.9,0.1,0,0,0,N,0,0,0,0.9,0.1,1
33,0.3,0.3,0.1,0.1,0.1,0.1,Y,9.55,19.8,238.13,0.6,0.4,1
34,0.1,0.8,0,0.1,0,0,N,0,0,0,0.9,0.1,1
35,0.8,0.1,0,0.1,0,0,Y,3.67,4.28,9.53,0.9,0.1,1
36,0.45,0.45,0,0,0.1,0,Y,0.57,0.75,0.27,0.9,0.1,1
37,0.2,0.7,0,0,0,0.1,N,0,0,0,0.9,0.1,1
38,0.3,0.5,0.2,0,0,0,Y,0.53,0.77,0.33,0.8,0.2,1
39,0.6,0.35,0.05,0,0,0,Y,0.59,0.6,0.5,0.95,0.05,1
40,0.5,0.5,0,0,0,0,Y,0.2,0.09,0.43,1,0,1
