sample,R1(HA),R2(IA),R3(NVP),R4(AA),R5(HEAA),R6(IBOA),Printability,Tensile_Strength(MPa),Tensile_Strain_percentage,Toughness(MJ/m3),Youngs_Modulus(MPa),Tg,sum_softmon,sum_hardmon,sum
1,0.15,0.2,0.02,0.21,0.18,0.24,Y,45.51,7.1,2.33,1300.199,56.6,0.35,0.65,1
2,0.25,0.31,0.11,0.02,0.16,0.15,Y,17.95,96.87,12.47,503.15,14.2,0.56,0.44,1
3,0.06,0.17,0.27,0.11,0.27,0.12,Y,32.74,3.79,0.69,924.7,54.8,0.23,0.77,1
4,0,0.1,0.3,0.2,0.2,0.2,Y,27.81,3.79,0.7,1404.64,56.7,0.1,0.9,1
5,0.35,0.35,0,0,0.1,0.2,Y,1.2,400.28,2.15,0.608,13.1,0.7,0.3,1
6,0.15,0.34,0.07,0.15,0.1,0.19,Y,28.33,13.84,2.97,534.16,42.3,0.49,0.51,1
7,0.13,0.08,0.16,0.36,0.02,0.25,Y,20.54,2.64,0.32,1305.44,50.9,0.21,0.79,1
8,0.14,0.08,0.03,0.26,0.25,0.24,Y,27.03,5.12,1.05,1509.91,50.1,0.22,0.78,1
9,0,0,0.5,0,0.3,0.2,Y,35.42,3.47,0.64,1069.52,126.7,0,1,1
10,0,0.05,0,0.25,0.2,0.5,Y,21.52,3.26,0.4,1001.36,120.9,0.05,0.95,1
11,0.1,0,0.25,0.25,0.25,0.15,Y,20.23,2.15,0.23,980.39,101.7,0.1,0.9,1
12,0.12,0.25,0.23,0.22,0.15,0.03,Y,29.07,2.64,0.45,1550.75,54,0.37,0.63,1
13,0.03,0.14,0.26,0.3,0.22,0.05,Y,20.54,4.08,0.41,1153.4,78.2,0.17,0.83,1
14,0.4,0,0.2,0.2,0.2,0,Y,17.16,2,0.17,1146.19,51.8,0.4,0.6,1
15,0,0.25,0,0.35,0.25,0.15,Y,19.83,6.96,0.99,648.79,54.5,0.25,0.75,1
16,0.5,0.1,0.1,0.1,0.1,0.1,Y,29.19,9.92,2.06,597.07,40.5,0.6,0.4,1
17,0.7,0.1,0.2,0,0,0,Y,5.35,192.8,6.68,196.33,21.3,0.8,0.2,1
18,0.29,0.11,0.19,0.27,0.07,0.07,Y,32.72,4.8,0.93,794.77,53.4,0.4,0.6,1
19,0.28,0.21,0.02,0.15,0.25,0.09,Y,20.8,73.76,10.57,599.92,31.4,0.49,0.51,1
20,0.3,0,0,0.1,0.1,0.5,Y,25.27,2.64,0.38,962.37,55.1,0.3,0.7,1
21,0.13,0.05,0.18,0.05,0.21,0.38,Y,20.76,4.8,0.62,1036.06,51.5,0.18,0.82,1
22,0.44,0.21,0.1,0.15,0.1,0,Y,14.97,138.96,15.49,267.92,28.8,0.65,0.35,1
23,0.26,0.04,0.22,0.28,0.07,0.13,Y,20.74,3.12,0.37,796.01,48.5,0.3,0.7,1
24,0.06,0.28,0,0.25,0.33,0.08,Y,5.83,59.34,3.27,142.32,47.8,0.34,0.66,1
25,0.1,0.16,0.18,0.04,0.24,0.28,Y,20.33,3.52,0.41,905.73,56.1,0.26,0.74,1
26,0.05,0.11,0.17,0.18,0.35,0.14,Y,28.13,3.44,0.59,1219.18,56.6,0.16,0.84,1
27,0,0.3,0.7,0,0,0,N,,,,,,0.3,0.7,1
28,0.2,0,0.8,0,0,0,Y,21.79,4.4,0.6,537.05,99.6,0.2,0.8,1
29,0.1,0,0.9,0,0,0,N,,,,,,0.1,0.9,1
30,0,0.5,0.5,0,0,0,N,,,,,,0.5,0.5,1
31,0,0.65,0.15,0.2,0,0,N,,,,,,0.65,0.35,1
32,0,0.9,0.1,0,0,0,N,,,,,,0.9,0.1,1
33,0.3,0.3,0.1,0.1,0.1,0.1,Y,9.55,270.4,19.8,238.13,34.8,0.6,0.4,1
34,0.1,0.8,0,0.1,0,0,N,,,,,,0.9,0.1,1
35,0.8,0.1,0,0.1,0,0,Y,3.67,299.37,4.28,9.53,28.7,0.9,0.1,1
36,0.45,0.45,0,0,0.1,0,Y,0.57,278.87,0.75,0.27,-2.8,0.9,0.1,1
37,0.2,0.7,0,0,0,0.1,N,,,,,,0.9,0.1,1
38,0.3,0.5,0.2,0,0,0,Y,0.53,283.32,0.77,0.33,9.7,0.8,0.2,1
39,0.6,0.35,0.05,0,0,0,Y,0.59,188.6,0.6,0.5,17.4,0.95,0.05,1
40,0.5,0.5,0,0,0,0,Y,0.2,75.41,0.09,0.43,-8.7,1,0,1
41,0.35,0.24,0,0.1,0.17,0.14,Y,35.33,4.4,0.78,974.86,37.5,0.59,0.41,1
42,0.17,0.27,0.11,0.17,0.09,0.19,Y,17.35,2.48,0.24,1604.03,49.1,0.44,0.56,1
43,0.14,0.2,0.04,0.11,0.19,0.32,Y,12.22,3.16,0.24,671.01,47.5,0.34,0.66,1
